Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
399,Chipotle Mexican Grill,CMG,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,39,no,yes,no,116068,79707,"$9,872 ",14.3,1228.7,36.7,8044.4,Scott Boatwright,U.S.,Newport Beach,California,Public
400,Vertex Pharmaceuticals,VRTX,Health Care,Pharmaceuticals,yes,no,yes,yes,27,no,no,yes,5400,107975.3,"$9,869 ",10.5,3619.6,9,22730.2,Reshma Kewalramani,U.S.,Boston,Massachusetts,Public
401,Biogen,BIIB,Health Care,Pharmaceuticals,yes,no,no,no,-15,no,no,no,7570,31344.1,"$9,836 ",-3.3,1161.1,-61.9,26844.8,Christopher A. Viehbacher,U.S.,Cambridge,Massachusetts,Public
402,GXO Logistics,GXO,Transportation,Transportation and Logistics,yes,no,no,no,21,no,no,no,109000,6411.5,"$9,778,000 ",8.7,229,16.2,9507,Malcolm Wilson,U.S.,Greenwich,Connecticut,Public
403,SpartanNash,SPTN,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,-4,no,no,no,13500,699.6,"$9,729 ",0.9,52.2,51.3,2355.6,Tony B. Sarsam,U.S.,Grand Rapids,Michigan,Public
404,Burlington Stores,BURL,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,30,no,no,no,44050,14841.4,"$9,728 ",11.8,339.6,47.6,7706.8,Michael B. O?Sullivan,U.S.,Burlington,New Jersey,Public
405,Thrivent Financial for Lutherans,,Financials,"Insurance: Life, Health (Mutual)",yes,no,yes,yes,7,no,no,no,3810,,"$9,720 ",4,347.2,-68,115628.7,Teresa J. Rasmussen,U.S.,Minneapolis,Minnesota,Private
406,NVR,NVR,Engineering & Construction,Homebuilders,yes,no,no,no,-30,no,no,no,6300,25904.2,"$9,687 ",-8.4,1591.6,-7.8,6601.8,Eugene J. Bredow,U.S.,Reston,Virginia,Public
407,Owens Corning,OC,Materials,"Building Materials, Glass",yes,no,no,no,-12,no,no,no,18000,14510.2,"$9,677,000 ",-0.9,1196,-3.6,11237,Brian D. Chambers,U.S.,Toledo,Ohio,Public
407,Westinghouse Air Brake Technologies,WAB,Industrials,Industrial Machinery,yes,no,no,yes,46,no,no,no,29000,25789.6,"$9,677,000 ",15.7,815,28.8,18988,Rafael O. Santana,U.S.,Pittsburgh,Pennsylvania,Public
409,Oshkosh,OSK,Industrials,Construction and Farm Machinery,yes,no,no,yes,46,no,no,no,17300,8178.1,"$9,658 ",16.6,598,243.9,9129.2,John C. Pfeifer,U.S.,Oshkosh,Wisconsin,Public
410,Global Payments,GPN,Business Services,Financial Data Services,yes,no,no,yes,15,no,no,no,27000,34094.6,"$9,654 ",7.6,986.2,784.6,50570.2,Cameron M. Bready,U.S.,Atlanta,Georgia,Public
411,Lululemon athletica,LULU,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,50,no,no,no,38000,49225.1,"$9,619 ",18.6,1550.2,81.4,7091.9,Calvin McDonald,U.S.,Sumner,Washington,Public
